,,,Spreadsheet Map,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"New
3/20/2020",Talk to me in Korean example sentences [Unit 4(15) - 6(11)],,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Spreadsheet Map,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Soon,,,
,,,,,,,,*Nuance is where you will find the distinction between synonyms,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Nouns,,,,,,,,,,,,,,,,,
,교육,"education, training, schooling",,돈,money,,집,home,,미국,the United States,,생물,"living thing, creature; biology",,,
,대학원,graduate school,,원,Korean currency,,댁,"house, home, family (hon.)",,나라,"country, nation",,애완동물,pet,,,
,대학원생,graduate student,,달러,dollar,,주택,"house, housing",,국가,"nation, country, state; national anthem",,동물,animal,,,
,대학교,"university, college",,잔돈,"small money, change (money); balance",,자택,one's own house (home),,국적,"nationality, citizenship",,물고기,fish,,,
,고등학교,high school,,거스름돈,change (coins),,주민,"resident, inhabitant",,외국,foreign country,,병 아리,chicks (animal),,,
,대학생,university student,,동전,(copper) coin,,가정,"home, family, household; supposition, assumption, presumption, hypothesis, speculation, suppose, presume",,해외,"foreign country, abroad, overseas",,강아지,puppy,,,
,대학,"university, college; faculty",,현금,(physical) cash,,집안,"home, family, household",,국제,"being international, global",,고양이,cat,,,
,연구소,research institute,,용돈,"pocket money, allowance, spending money",,만원,"full house (no space for more people); 10,000 won",,전국,"the whole country, nationwide",,개,dog; counter,,,
,고등학생,high school student,,내기,"bet, betting, wager",,집안일,"housework, housekeeping; family event, household affair, family affair",,제국,empire,,새,new; bird,,,
,중학생,middle school student,,재산,"property, fortune, wealth, asset",,가정부,housekeeper,,국기,national flag,,토끼,rabbit,,,
,중학교,middle school,,유산,"inheritance, legacy, heritage; abortion, miscarriage",,한옥,Korean-style house,,깃발,"flag; belief, claim",,닭,chicken (living animal),,,
,초등학교,elementary school,,문화재,"cultural assets, cultural properties",,이사,moving (houses),,국내,"inside country, domestic",,호랑이,"tiger; scary, a brute, a cruel person",,,
,초등학생,elementary school student,,수입,"income, earnings, revenue; import",,사는 곳,place of living,,지도,"map, chart; plan, guidance (on)",,돼지,pig,,,
,유치원,kindergarten,,수출,export,,기숙사,dormitory,,,,,벌레,"bug, insect; worm; hard worker",,,
,유치원생,kindergartener,,이익,"benefit, profit, gain, interest",,아파트,apartment,,지방,"local area, region, district, province; fat; countryside",,모기,mosquito,,,
,학원,"private institute, school, academy",,뇌물,bribe; kickback,,숙소,"lodging, accomodations (to stay temporarily)",,지역,"area, region, district, zone",,원숭이,monkey,,,
,,,,예금,"deposit, savings",,주소,"address, residence",,도시,city,,사자,"lion, lioness",,,
,교무실,"faculty office, teacher's office",,통장,bankbook,,벽,wall; characteristic,,고향,hometown,,쥐,"rat, mouse; cramp, (muscle) spasm",,,
,선생님,teacher,,얼마에,price,,액자,picture frame,,동네,"neighborhood, village",,여우,"fox, vixen; actress",,,
,교수,"professor; teaching, instruction",,가격,"price; hitting, striking",,복도,hallway,,이웃,"neighbor, the neighborhood",,곰,bear; slow person,,,
,교사,"(higher education) instructor, teacher, school teacher; (formal) instigation, incitement, incite",,값,"price, cost, value",,지붕,roof,,마을,"town, village",,거미,spider,,,
,박사,doctor (phd); expert; doctorate degree,,물가,"prices (avg market price for goods and services), cost of living; edge of water",,옥상,rooftop (flat/that you can stand on),,민속촌,Folk village,,오징어,"squid, cuttlefish",,,
,학위,academic degree,,가치,"value, worth",,문,door,,수도,"capital city; water supply (service), sewerage, faucet",,파리,fly (bug); paris,,,
,반장,"class president, leader",,평가,"appraisal, evaluation, assessment, estimation",,뒷문,back door; improper means (to solve a problem),,시청,city hall; act of watching,,소,"cow; filling (food related); small; claim, case",,,
,학생,student,,공짜,free (of charge),,현관,"front door, entrance",,광장,"plaza, square",,오리,duck,,,
,동창,"fellow students, classmates",,무료,"free of charge, complimentary (more formal)",,정문,"the front gate, main entrance (big)",,시내,"the city, downtown, stream, brook",,개미,ant,,,
,남학생,male student,,요금,"charge, fee, fare",,대문,"gate, front gate",,,,,새우,"shrimp, prawn",,,
,여학생,female student,,세금,tax,,교문,school gate,,여행,"trip, travel",,나비,butterfly,,,
,전학생,transfer student,,차비,transportation fare,,손잡이,"handle, knob",,여행지,(travel) destination,,잠자리,"dragonfly; bed, bed clothes, sleep with someone",,,
,복학생,student who has returned to school after a long break,,비용,"expense, cost (of something)",,초인종,doorbell,,여행용,"for travel, travel",,코끼리,elephant,,,
,교환학생,exchange student,,지출,"expense, spend, outgoings, (act of) spending",,출입,"entry, access (to), going in and out; coming and going",,왕복,"round trip, travel back and forth",,개구리,frog,,,
,학자,scholar,,계산서,"check, bill (like at a restaurant)",,접속,"access, connection",,교통,"traffic, transportation; communication, interaction; trade, international exchange",,외계인,alien (extraterrestrial),,,
,장학금,scholarship,,수표,check (you're writing or receiving),,창문,window,,대중교통,public transportation,,,,,,
,,,,영수증,receipt,,유리창,glass window,,신호등,"traffic light, traffic signal",,,,,,
,학교,school,,판매,"sale(s), selling",,커튼,curtain,,공항,airport,,색깔,color,,,
,교장,"principal, headmaster (at a school)",,구매,purchase,,계단,"stairs, step",,항공,"aviation, flight (travel)",,검은색,"black, a dark color",,,
,학년,"school year, grade (level)",,매진,"sold out, sellout; striving",,지하,"underground, basement; the afterlife",,비행기,"airplane, plane",,검정,"black (night sky, no light)",,,
,학기,semester,,환불,"refund, money back",,아래층,"downstairs, lower floor",,항공권,airline ticket,,까만색,black,,,
,기말/학기말,"end of a term, end of a semester",,보상,compensation; reward,,위층,"upstairs, upper floor",,일등,"first, first class (rank/grade that comes first before others)",,빨간색,red,,,
,방학,vacation (from school),,서비스,service,,바닥,"floor, the bottom, ground; area, place; field, business",,터미널,terminal,,흰색,(noun) white,,,
,강의,"lecture, class (college)",,봉사,"(volunteer) service, serve; blind person",,마룻바닥,(wood/nicely furnished) floor,,지하철,underground train,,하양,"white, whiteness, white tint",,,
,강의실,"lecture room, classroom (college)",,명함,business card,,천장,ceiling,,지하도,"underpass, underground tunnel, subway",,하얀,"(adj) white, pale",,,
,강연회,lecture meeting (less common),,신용카드,credit card,,,,,전철,subway (train) (electric),,노랑,yellow (noun),,,
,교실,classroom (not college),,신분증,ID card,,방,"room, shot, round, punch",,기차,train (like in train station),,노란색,yellow,,,
,수업,"class, lesson, course (up to highschool)",,월급,monthly salary,,온돌방,room with the Korean floor heating system,,급행열차,express train,,황색,"yellow (added to words? ""yellow sun"")",,,
,반,"half; group, class",,임금,"wages, pay (of any kind/formal); king, monarch",,,,,역,station (subway); part in a play ,,연두색,light yellowish green (pea),,,
,클래스,class (not school/e.g. class based on skill or quality),,공주,princess; Gong Ju,,침실,"bedroom, room for sleeping",,기차역,train station,,초록색,green,,,
,레슨,"lesson, private lesson (not school subjects; instruments etc)",,보험,insurance,,안방,"master bedroom, main room",,선로,"train tracks, railroad",,녹색,green,,,
,과외,"private lessons, tutoring; extra work",,건강보험증,health insurance card,,침대,bed,,호선,"(bound noun) line (subway); arc, curve",,갈색,light brown,,,
